Address,Town,DOR_Code,Total_Area,Year_Built,Remodel_Year,Quality,Condition,Architecture,Bedrooms,Bathrooms,Total_Rooms,Foundation,Garage_Stalls,Land_Value,Improvements_Value,Permanent_Crop_Value,Total_Value,Total_Acres,Data_Link,,,
206 N D STREET,ALBION,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,6440,95593,0,102033,0.1147,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=906822&parcelNumber=100050007140000&typeID=1,,,
C/O JOHN CORWIN AESCHLIMAN,COLFAX,83 - Resource - Agriculture Current Use,None,None,None,None,None,None,None,None,None,None,None,100360,1688,0,102048,83,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=944885&parcelNumber=200004215214900&typeID=1,,,
310 S MILL STREET,COLFAX,11 - Residential - Single Family,1188,1891,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,5750,96299,0,102049,0.1033,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=907342&parcelNumber=100400028080000&typeID=1,,,
1102 N CLAY ST,COLFAX,11 - Residential - Single Family,1302,1947,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,6440,95621,0,102061,0.2938,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=908268&parcelNumber=101350016040000&typeID=1,,,
220 S JOSEPHINE AVE,ROSALIA,11 - Residential - Single Family,1636,1953,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,7222,94870,0,102092,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=943757&parcelNumber=115750006120000&typeID=1,,,
PO BOX 253,PALOUSE,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,23000,79097,0,102097,0.2295,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=943727&parcelNumber=107400002050000&typeID=1,,,
PO BOX 362,LACROSSE,11 - Residential - Single Family,1552,1916,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,6900,95198,0,102098,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=910227&parcelNumber=105350002110000&typeID=1,,,
12 SKYLINE DRIVE RD,FARMINGTON,11 - Residential - Single Family,1836,1892,,3.0 - Average,3.0 - Average,&nbsp;,3,1,,&nbsp;,,44666,57500,0,102166,4,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=937731&parcelNumber=200004519244390&typeID=1,,,
1185 NW DAVIS WAY,PULLMAN,11 - Residential - Single Family,859,1889,,3.0 - Average,3.0 - Average,Conventional,2,1,,Concrete,,15000,87197,0,102197,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=916588&parcelNumber=112700008010001&typeID=1,,,
106 E CALIFORNIA STREET,GARFIELD,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,11500,90735,0,102235,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942915&parcelNumber=104450065110000&typeID=1,,,
PO BOX 584,PALOUSE,11 - Residential - Single Family,900,1890,,3.0 - Average,3.0 - Average,Contemporary,2,1,,Concrete,,23000,79279,0,102279,0.02295,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=944574&parcelNumber=107800013040000&typeID=1,,,
205 N BROCKWAY ROAD,ROSALIA,11 - Residential - Single Family,1867,1902,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,4600,97687,0,102287,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=918954&parcelNumber=116200002030000&typeID=1,,,
2701 ENOS ROAD,COLFAX,65 - Services - Professional,5000,1959,,2.0 - Average,3.0 - Average,None,None,None,None,None,None,14260,88044,0,102304,0.1033,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=907159&parcelNumber=100400010120000&typeID=1,,,
405 E SCHWENNE ST,UNIONTOWN,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,14375,87953,0,102328,1.03,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=943491&parcelNumber=118300010110000&typeID=1,,,
304 W WASHINGTON ST,FARMINGTON,11 - Residential - Single Family,2444,1900,,3.0 - Average,3.0 - Average,Conventional,,,,Concrete,,11500,90850,0,102350,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=909240&parcelNumber=103300023030000&typeID=1,,,
807 N 1ST ST,COLFAX,11 - Residential - Single Family,720,1900,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,5750,96655,0,102405,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=907873&parcelNumber=100750002160000&typeID=1,,,
15314 E 22ND AVENUE,SPOKANE VALLEY,83 - Resource - Agriculture Current Use,None,None,None,None,None,None,None,None,None,None,None,91860,10560,0,102420,100,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=937889&parcelNumber=200004520142903&typeID=1,,,
C/O MIKE AND KATHY PRESNELL,WARREN,11 - Residential - Single Family,840,1937,,3.0 - Average,3.0 - Average,Conventional,2,1,,Concrete,,58995,43471,0,102466,21.65,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=929956&parcelNumber=200004315223390&typeID=1,,,
PO BOX 126,ROSALIA,11 - Residential - Single Family,2005,1916,1974,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,3450,99017,0,102467,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=918539&parcelNumber=115750008130000&typeID=1,,,
920 SW FOUNTAIN ST,PULLMAN,11 - Residential - Single Family,1730,1960,,1.5 - Fair,1.5 - Low/Fair,None,None,None,None,None,None,64250,38245,0,102495,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942504&parcelNumber=112700004120001&typeID=1,,,
902 S MAIN ST,COLFAX,11 - Residential - Single Family,2186,1888,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,4255,98261,0,102516,0.1147,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=907579&parcelNumber=100400053120000&typeID=1,,,
600 SW SUMMER ST,PULLMAN,11 - Residential - Single Family,1632,1910,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,11500,91016,0,102516,0.1147,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911139&parcelNumber=107300001100000&typeID=1,,,
BOX 148,ST JOHN,39 - Commercial - Misc Commercial,4617,1913,,2.0 - Average,3.0 - Average,None,None,None,None,None,None,1725,100793,0,102518,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=918657&parcelNumber=115750014310001&typeID=1,,,
1007 HARRISON,COLTON,11 - Residential - Single Family,1120,2011,,2.0 - Fair,2.0 - Fair,Modular,3,2,,Concrete,,6440,96103,0,102543,0.1147,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=906741&parcelNumber=100050002030000&typeID=1,,,
KAMMERZELL INC LLC,MEAD,83 - Resource - Agriculture Current Use,2520,1900,,3.0 - Average,3.0 - Average,&nbsp;,1,1,,&nbsp;,,63720,38830,0,102550,38,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=937746&parcelNumber=200004519254890&typeID=1,,,
203 W COOPER ST,COLFAX,11 - Residential - Single Family,1019,1949,,3.0 - Average,3.0 - Average,Conventional,2,1,,Concrete,,3220,99331,0,102551,0.1147,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942945&parcelNumber=801950000000124&typeID=1,,,
16300 CHRISTENSEN RD,SEATTLE,81 - Resource - Agriculture,None,None,None,None,None,None,None,None,None,None,None,4000,98560,0,102560,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=919750&parcelNumber=117450002080000&typeID=1,,,
2204 N RIDGEVIEW DR,POST FALLS,13 - Residential - Multiunits,3686,1910,,3.0 - Average,3.0 - Average,Conventional,9,8,,Concrete,,4600,97981,0,102581,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=918705&parcelNumber=115750018040000&typeID=1,,,
PO BOX 254,PALOUSE,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,13800,88792,0,102592,0.1377,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911149&parcelNumber=107309904030000&typeID=1,,,
525 E UNION ST,PALOUSE,11 - Residential - Single Family,1120,2010,,2.0 - Fair,2.0 - Fair,Conventional,3,2,,Concrete,,11500,91191,0,102691,0.1147,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911253&parcelNumber=107400007030000&typeID=1,,,
3061 GROVE RD,ENDICOTT,83 - Resource - Agriculture Current Use,1150,1950,,3.0 - Average,3.0 - Average,Conventional,5,2,,Concrete,,14120,88613,0,102733,25,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=926542&parcelNumber=200004117092901&typeID=1,,,
PO BOX 154,OAKESDALE,11 - Residential - Single Family,1428,1890,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,17250,85499,0,102749,0.9986,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=940939&parcelNumber=807100000000142&typeID=1,,,
1001 S MAIN ST,COLFAX,11 - Residential - Single Family,1236,1939,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,4255,98505,0,102760,0.08608,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=944883&parcelNumber=100400057010002&typeID=1,,,
PO BOX 34,PALOUSE,11 - Residential - Single Family,1668,1890,,3.0 - Average,3.0 - Average,Conventional,2,1,,Concrete,,11500,91266,0,102766,0.1147,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911119&parcelNumber=107250020010000&typeID=1,,,
1016 S MAIN ST,COLFAX,58 - Trade - Eating & Drinkin,1848,1892,,2.0 - Average,2.5 - Fair/Average,None,None,None,None,None,None,15755,87032,0,102787,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=907247&parcelNumber=100400019040001&typeID=1,,,
709 N MAIN ST,COLFAX,11 - Residential - Single Family,1272,1922,,3.0 - Average,4.0 - Good,&nbsp;,3,2,,&nbsp;,,26795,76015,0,102810,0.1033,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=908495&parcelNumber=101450001030000&typeID=1,,,
PO BOX 351,GARFIELD,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,4600,98210,0,102810,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=909584&parcelNumber=104000051040000&typeID=1,,,
401 S STAR STREET,LACROSSE,11 - Residential - Single Family,2236,1904,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,9200,93659,0,102859,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=910279&parcelNumber=105400000000157&typeID=1,,,
P O BOX 1,LACROSSE,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,24150,78768,0,102918,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=910202&parcelNumber=105300004060000&typeID=1,,,
622 S REIGER,ROSALIA,11 - Residential - Single Family,1992,1905,,3.0 - Average,3.0 - Average,Conventional,4,1,,Concrete,,9200,93718,0,102918,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=941737&parcelNumber=816300000000031&typeID=1,,,
409 S LAKE ST,COLFAX,11 - Residential - Single Family,1145,1925,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,1,5635,97307,0,102942,0.1492,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=907365&parcelNumber=100400031050002&typeID=1,,,
PO BOX 64,LACROSSE,11 - Residential - Single Family,2256,1903,,3.0 - Average,3.0 - Average,Conventional,4,2,,Concrete,,6900,96095,0,102995,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=910027&parcelNumber=104950014120000&typeID=1,,,
240 E CANNON ST,PALOUSE,11 - Residential - Single Family,1576,1915,,3.0 - Average,3.0 - Average,Conventional,2,1,,Concrete,,15640,87371,0,103011,0.1561,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911094&parcelNumber=107250012060000&typeID=1,,,
7911 HAMMERGRADE RD,LACROSSE,11 - Residential - Single Family,1572,1910,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,12199,90814,0,103013,5.4,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942630&parcelNumber=200003714351290&typeID=1,,,
C/O ZANE LARSEN,PULLMAN,11 - Residential - Single Family,1900,1915,,2.0 - Fair,2.5 - Fair/Average,Conventional,4,1,,Concrete,,12880,90138,0,103018,0.2295,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=906926&parcelNumber=100200009020000&typeID=1,,,
616 S MAIN STREET,COLFAX,18 - Residential - All other,None,None,None,None,None,None,None,None,None,None,None,20470,82570,0,103040,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=940502&parcelNumber=802050000000295&typeID=1,,,
310 W 7TH,ROSALIA,11 - Residential - Single Family,1846,1893,,3.0 - Average,3.0 - Average,Conventional,4,1,,Concrete,,9200,93960,0,103160,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=941734&parcelNumber=816300000000022&typeID=1,,,
1732 KLAVEANO RD,THORNTON,83 - Resource - Agriculture Current Use,1608,1927,,3.0 - Average,3.0 - Average,Conventional,2,1,,Concrete,2,15120,88055,0,103175,1,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=931151&parcelNumber=200004318153690&typeID=1,,,
52 MORROW STREET,ENDICOTT,11 - Residential - Single Family,1812,1908,,3.0 - Average,3.0 - Average,Conventional,3,2.5,,Concrete,2,587,102597,0,103184,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921473&parcelNumber=131850002110000&typeID=1,,,
ASSC,UNIONTOWN,11 - Residential - Single Family,2688,1900,,2.0 - Average,3.0 - Average,None,None,None,None,None,None,5170,98030,0,103200,0.1147,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=920270&parcelNumber=118200006140000&typeID=1,,,
103 SOUTH PARK STREET,ST JOHN,11 - Residential - Single Family,930,1924,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,12938,90280,0,103218,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=943536&parcelNumber=116500003030001&typeID=1,,,
902 N PARK ST,COLFAX,11 - Residential - Single Family,948,1900,,3.0 - Average,3.0 - Average,Conventional,2,1,,Concrete,,2875,100359,0,103234,0.1148,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=908142&parcelNumber=101300001190000&typeID=1,,,
PO BOX 27,LACROSSE,14 - Residential - Condo,1401,1978,,3.0 - Average,3.0 - Average,None,None,None,None,None,None,5175,98066,0,103241,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=910197&parcelNumber=105300002050002&typeID=1,,,
206 S HILL AVE,LACROSSE,14 - Residential - Condo,1401,1978,,3.0 - Average,3.0 - Average,None,None,None,None,None,None,5175,98066,0,103241,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=910196&parcelNumber=105300002040002&typeID=1,,,
302 N MILL,COLFAX,82 - Resource - Agriculture Activities,None,None,None,None,None,None,None,None,None,None,None,2499,100750,0,103249,15.16,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=937867&parcelNumber=200004520108900&typeID=1,,,
PO BOX 664,COLFAX,11 - Residential - Single Family,1304,1902,,3.0 - Average,3.0 - Average,&nbsp;,3,1,,Concrete,,2875,100442,0,103317,0.1148,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=908146&parcelNumber=101300001230000&typeID=1,,,
PARISH-PULLMAN,PULLMAN,72 - Recreational - Public assembly,1390,1919,,3.0 - Average,3.0 - Average,&nbsp;,2,2,,&nbsp;,,21120,82280,0,103400,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=916119&parcelNumber=112350005020000&typeID=1,,,
104 CASS RD,COLFAX,83 - Resource - Agriculture Current Use,None,None,None,None,None,None,None,None,None,None,None,13608,89830,0,103438,0.95,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922379&parcelNumber=142200045020003&typeID=1,,,
902 CLEAR CREEK RD,COLFAX,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,17388,86090,0,103478,1,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=933183&parcelNumber=200004416033691&typeID=1,,,
W 6712 DAHL RD,DEER PARK,11 - Residential - Single Family,993,1945,,3.0 - Average,3.0 - Average,Conventional,4,2,,Concrete,,4255,99246,0,103501,0.0631,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=907685&parcelNumber=100400066060003&typeID=1,,,
808 S JOSEPHINE AVE,ROSALIA,11 - Residential - Single Family,2111,1909,,3.0 - Average,3.0 - Average,Conventional,5,2,,Concrete,,8338,95242,0,103580,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=918857&parcelNumber=116000023090000&typeID=1,,,
515 NW CURLEY AVE,PULLMAN,83 - Resource - Agriculture Current Use,1772,1903,,3.0 - Average,3.0 - Average,&nbsp;,4,2,,&nbsp;,,23940,79684,0,103624,5.9,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942821&parcelNumber=200004314042190&typeID=1,,,
106 MACHIN ST,ENDICOTT,11 - Residential - Single Family,968,1954,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,26565,77095,0,103660,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=940671&parcelNumber=803150000000013&typeID=1,,,
804 S WHITMAN AVE,ROSALIA,11 - Residential - Single Family,1703,1884,,2.5 - Fair/Average,2.5 - Fair/Average,&nbsp;,3,1,,Concrete,,4600,99143,0,103743,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=918843&parcelNumber=116000022040000&typeID=1,,,
17361 SR 194,PULLMAN,11 - Residential - Single Family,1056,1952,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,23276,80562,0,103838,2,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=932483&parcelNumber=200004414092490&typeID=1,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=916767&parcelNumber=113100000140002&typeID=1,,
304 E PINE,FARMINGTON,11 - Residential - Single Family,2144,1900,,3.0 - Average,3.0 - Average,Conventional,,,,Concrete,,4600,99245,0,103845,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=909190&parcelNumber=103300012040000&typeID=1,,,
203 W WAWAWAI STREET,COLFAX,11 - Residential - Single Family,2652,1900,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,8625,95237,0,103862,0.1744,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=907511&parcelNumber=100400047020002&typeID=1,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=917730&parcelNumber=114310001090000&typeID=1,,
61701 SR 195,ROSALIA,11 - Residential - Single Family,1504,1959,,3.0 - Average,3.0 - Average,Conventional,2,1,,Concrete,,31648,72215,0,103863,9,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=943755&parcelNumber=200004320274590&typeID=1,,,
PO BOX 365,PALOUSE,11 - Residential - Single Family,1536,1890,,3.0 - Average,3.0 - Average,Conventional,4,1,,Concrete,,11500,92373,0,103873,0.1147,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911600&parcelNumber=107800011050000&typeID=1,,,
1004 N MORTON,COLFAX,11 - Residential - Single Family,1050,1920,,3.0 - Average,3.0 - Average,Conventional,2,1,,Concrete,,11385,92504,0,103889,0.1147,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=908238&parcelNumber=101350009150000&typeID=1,,,
182 SCHOLZ ROAD,STEPTOE,11 - Residential - Single Family,1656,1910,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,3450,100492,0,103942,0.2789,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=922280&parcelNumber=142200019130002&typeID=1,,,
855 SW WINDY POINT CT,PULLMAN,11 - Residential - Single Family,1464,1938,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,8280,95680,0,103960,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=943912&parcelNumber=116600009030000&typeID=1,,,
PO BOX 215,ENDICOTT,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,16560,87400,0,103960,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=940655&parcelNumber=803050000290001&typeID=1,,,
302 N 4TH STREET,OAKESDALE,11 - Residential - Single Family,1415,1897,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,5821,98142,0,103963,0.1549,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=911035&parcelNumber=106850005050001&typeID=1,,,
PO BOX 675,TEKOA,11 - Residential - Single Family,1512,1999,,1.0 - Low,1.0 - Low,Modular,3,2,,Post &amp; Pier,,3450,100518,0,103968,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=919966&parcelNumber=117600006040000&typeID=1,,,
207 W GARFIELD STREET,GARFIELD,11 - Residential - Single Family,1438,1957,,3.0 - Average,3.0 - Average,Conventional,3,2.5,,Concrete,,9200,94869,0,104069,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=909413&parcelNumber=103850006030000&typeID=1,,,
708 S LAKE ST,COLFAX,11 - Residential - Single Family,2305,1895,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,8970,95104,0,104074,0.1893,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=907509&parcelNumber=100400046040000&typeID=1,,,
401 SQUIRES RD,ROSALIA,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,103500,0,104087,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=921956&parcelNumber=137300001220000&typeID=1,,,
1010 S MEADOW ST,COLFAX,11 - Residential - Single Family,936,1948,,3.0 - Average,3.0 - Average,&nbsp;,3,2,,Concrete,1,4255,99881,0,104136,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=940530&parcelNumber=802050000000368&typeID=1,,,
PO BOX 192,OAKESDALE,11 - Residential - Single Family,2247,1878,,3.0 - Average,3.0 - Average,Conventional,5,1,,Concrete,,7115,97089,0,104204,0.1893,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=943000&parcelNumber=106450031080001&typeID=1,,,
8801 SR 272,GARFIELD,83 - Resource - Agriculture Current Use,None,None,None,None,None,None,None,None,None,None,None,39720,64489,0,104209,23,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=933877&parcelNumber=200004417264890&typeID=1,,,
7651 ENDICOTT RD,ENDICOTT,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,587,103633,0,104220,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942339&parcelNumber=832154017290061&typeID=1,,,
303 W JEFFERSON ST,GARFIELD,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,9200,95044,0,104244,&nbsp;,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=909731&parcelNumber=104300005120000&typeID=1,,,
414 WEST A AVENUE,COLFAX,11 - Residential - Single Family,960,1957,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,4255,99996,0,104251,0.1033,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=907867&parcelNumber=100750002060000&typeID=1,,,
PO BOX 293,COLFAX,11 - Residential - Single Family,1328,1908,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,1,7130,97186,0,104316,0.2622,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=940528&parcelNumber=802050000000362&typeID=1,,,
,,11 - Residential - Single Family,1304,1939,,3.0 - Average,3.0 - Average,Conventional,2,1,,Concrete,1,34638,69739,0,104377,1,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=937962&parcelNumber=200004520234903&typeID=1,,,
11132 PARVIN RD,PALOUSE,11 - Residential - Single Family,2907,1901,,3.0 - Average,3.0 - Average,Conventional,4,1.5,,Concrete,,12075,92304,0,104379,3.6,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=936871&parcelNumber=200004516287590&typeID=1,,,
2802 LAMONT RD,LAMONT,83 - Resource - Agriculture Current Use,None,None,None,None,None,None,None,None,None,None,None,21120,83266,0,104386,59,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=923814&parcelNumber=200003919061690&typeID=1,,,
103 HARMS RD,PULLMAN,11 - Residential - Single Family,1260,1900,,3.0 - Average,3.0 - Average,Conventional,2,1,,Concrete,,31050,73363,0,104413,0.6198,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=942206&parcelNumber=826750000000055&typeID=1,,,
306 W CANYON ST,COLFAX,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,8625,95842,0,104467,0.3673,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=940383&parcelNumber=802000000000088&typeID=1,,,
PO BOX 53,PALOUSE,11 - Residential - Single Family,None,None,None,None,None,None,None,None,None,None,None,23000,81484,0,104484,0.2295,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=944496&parcelNumber=107250020090000&typeID=1,,,
54 BECKER RD 3C,COLTON,11 - Residential - Single Family,1050,1891,,3.0 - Average,3.0 - Average,Conventional,2,1,,Concrete,,13886,90603,0,104489,0.2772,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=920615&parcelNumber=121200004140000&typeID=1,,,
21132 ENDICOTT RD,ENDICOTT,11 - Residential - Single Family,1028,1935,,3.0 - Average,3.0 - Average,Conventional,3,1,,Concrete,,6325,98177,0,104502,0.1147,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=907562&parcelNumber=100400052040000&typeID=1,,,
7779 N GOODWATER LOOP,COEUR D ALENE,39 - Commercial - Misc Commercial,3048,1995,,2.0 - Average,3.0 - Average,None,None,None,None,None,None,35578,68948,0,104526,0.9469,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=944787&parcelNumber=106450021120000&typeID=1,,,
6 S MAIN STREET,ST JOHN,11 - Residential - Single Family,1764,1890,,3.0 - Average,3.0 - Average,Conventional,2,1.5,5,Concrete,,8050,96491,0,104541,0.2258,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=918994&parcelNumber=116500001090000&typeID=1,,,
905 S EAST ST,COLFAX,11 - Residential - Single Family,1146,1937,,3.0 - Average,3.0 - Average,Conventional,3,2,,Concrete,,8625,95942,0,104567,0.1997,http://terrascan.whitmancounty.net/Taxsifter/Assessor.aspx?keyId=944905&parcelNumber=100400066020004&typeID=1,,,
